"filename", "language", "Batch", "Properties", "Groovy", "XML", "Java", "comment", "blank", "total"
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TimeLine\TimeAdapter.java", "Java", 0, 0, 0, 0, 133, 6, 31, 170
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TimeLine\TimeComparator.java", "Java", 0, 0, 0, 0, 8, 3, 4, 15
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TimeLine\TimeData.java", "Java", 0, 0, 0, 0, 32, 4, 14, 50
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TimeLine\TimeFormat.java", "Java", 0, 0, 0, 0, 31, 3, 6, 40
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TimeLine\TimeLineFragment.java", "Java", 0, 0, 0, 0, 121, 26, 29, 176
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TimeLine\cv.java", "Java", 0, 0, 0, 0, 3, 0, 2, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TomatoFragment.java", "Java", 0, 0, 0, 0, 68, 2, 10, 80
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TomatoView.java", "Java", 0, 0, 0, 0, 208, 5, 28, 241
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\java\com\example\chronus\TransitionActivity.java", "Java", 0, 0, 0, 0, 53, 2, 16, 71
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable-anydpi\clock.xml", "XML", 0, 0, 0, 14, 0, 0, 1, 15
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable-anydpi\clock_fill.xml", "XML", 0, 0, 0, 19, 0, 0, 1, 20
